tweet_id,retweet_count,favorite_count
892420643555336193,8206,37641
892177421306343426,6071,32349
891815181378084864,4012,24369
891689557279858688,8367,40963
891327558926688256,9063,39167
891087950875897856,3009,19694
890971913173991426,1988,11517
890729181411237888,18234,63507
890609185150312448,4129,27082
890240255349198849,7127,31034
890006608113172480,7086,29859
889880896479866881,4815,27061
889665388333682689,9705,46800
889638837579907072,4382,26379
889531135344209921,2176,14714
889278841981685760,5199,24569
888917238123831296,4354,28346
888804989199671297,4136,24864
888554962724278272,3422,19290
888078434458587136,3369,21173
887705289381826560,5201,29386
887517139158093824,11314,45039
887473957103951883,17553,67072
887343217045368832,10079,32764
887101392804085760,5762,29757
886983233522544640,7512,34170
886736880519319552,3159,11717
886680336477933568,4318,21844
886366144734445568,3096,20617
886267009285017600,4,116
886258384151887873,6096,27243
886054160059072513,105,0
885984800019947520,6554,31719
885528943205470208,6216,34998
885518971528720385,3628,19890
885311592912609280,17940,0
885167619883638784,4242,21319
884925521741709313,17646,75237
884876753390489601,5436,27142
884562892145688576,4534,23625
884441805382717440,5485,26273
884247878851493888,19853,70949
884162670584377345,2886,19813
883838122936631299,3333,21302
883482846933004288,9614,44658
883360690899218434,3590,22074
883117836046086144,6451,36164
882992080364220416,3802,23290
882762694511734784,4743,27533
882627270321602560,5900,27170
882268110199369728,11229,43726
882045870035918850,4799,28554
881906580714921986,3288,23657
881666595344535552,10346,49245
881633300179243008,7,124
881536004380872706,15468,48108
881268444196462592,5026,22507
880935762899988482,2701,16602
880872448815771648,3711,20699
880465832366813184,6086,27772
880221127280381952,4088,26306
880095782870896641,4207,26895
879862464715927552,3390,21755
879674319642796034,10,302
879492040517615616,3082,22815
879415818425184262,42969,103030
879376492567855104,3019,16367
879130579576475649,6604,0
879050749262655488,4560,21948
879008229531029506,2613,18490
878776093423087618,4003,18909
878604707211726852,6983,29423
878404777348136964,1248,0
878316110768087041,6449,0
878281511006478336,1248,7537
878057613040115712,6604,40953
877736472329191424,18527,77640
877611172832227328,78,0
877556246731214848,3693,22148
877316821321428993,5042,26695
877201837425926144,5426,26436
876838120628539392,3245,20161
876537666061221889,4509,22948
876484053909872640,2324,18293
876120275196170240,4552,27240
875747767867523072,4169,24562
875144289856114688,4807,21390
875097192612077568,5895,26727
875021211251597312,4600,24862
874680097055178752,4526,27150
874434818259525634,14321,0
874296783580663808,4007,25439
874057562936811520,3855,22165
874012996292530176,10147,33707
873580283840344065,3842,23646
873337748698140672,1547,0
873213775632977920,1547,7060
872967104147763200,5283,26699
872820683541237760,3616,14401
872620804844003328,3611,20322
872486979161796608,8829,39796
872122724285648897,7960,33643
871879754684805121,10921,37105
871762521631449091,3413,19854
871515927908634625,3390,19790
871166179821445120,5588,0
871102520638267392,5410,20523
871032628920680449,3749,22233
870804317367881728,6089,32980
870726314365509632,3,117
870656317836468226,2597,12167
870374049280663552,25808,81234
870308999962521604,4085,21454
870063196459192321,8212,35957
869772420881756160,9887,41704
869702957897576449,6253,27759
869596645499047938,3093,15722
869227993411051520,3745,20136
868880397819494401,14296,64529
868639477480148993,2064,0
868622495443632128,5234,26329
868552278524837888,2064,9974
867900495410671616,4132,23845
867774946302451713,7271,33496
867421006826221569,2475,15907
867072653475098625,119,0
867051520902168576,7793,31835
866720684873056260,4768,19817
866686824827068416,3451,19047
866450705531457537,35040,120763
